,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,25.39,36.36,110.86,47.92,123.85,56.86,133.27,99.53,126.12,46.13,42.32,126.83,92.98,28.25,102.4,98.1,109.07
1,606.05,505.16,570.96,853.88,456.18,865.57,652.84,22.66,646.99,606.05,51.17,611.16,687.93,331.9,54.83,185.69,626.52
2,316.5,463.0,430.0,105.5,184.5,165.0,4.5,29.5,300.5,294.0,206.5,11.5,546.5,389.5,262.5,309.5,491.0
3,32.9,679.15,73.84,116.97,44.59,441.56,343.6,314.36,785.16,780.77,796.12,364.8,834.87,194.46,515.4,596.54,336.29
4,433.0,125.0,11.5,402.5,548.5,328.5,41.0,366.5,461.0,340.5,526.0,126.0,478.0,392.5,17.0,104.0,243.5
5,125.4,67.83,48.52,30.16,35.64,71.4,92.26,110.26,76.41,41.01,72.95,116.46,17.17,39.93,57.46,93.34,82.37
6,135.01,32.27,184.22,243.93,17.75,233.44,24.47,69.39,28.51,235.59,42.22,19.09,29.31,129.36,15.87,296.91,218.11
7,220.5,106.0,408.0,462.0,563.5,274.5,56.0,133.5,285.5,120.5,71.0,192.5,188.5,94.5,219.0,480.0,470.0
8,13.98,248.5,164.05,122.91,293.68,96.01,67.5,140.12,185.57,271.09,167.55,105.43,173.74,83.37,159.21,248.23,295.84
9,527.0,151.5,447.0,248.5,343.0,589.0,391.5,185.0,316.5,113.0,9.5,121.5,598.0,425.0,188.0,84.0,178.0
10,400.62,567.3,353.1,412.32,78.22,249.29,383.07,74.57,641.14,510.28,815.86,366.26,187.88,62.14,640.41,483.23,187.15
11,748.6,357.49,94.31,551.22,133.05,103.08,524.9,281.46,826.1,660.15,875.08,350.91,857.53,582.65,424.01,628.71,225.17
12,100.73,3.22,107.04,108.12,32.3,61.75,78.2,50.66,101.08,6.79,38.38,98.46,98.94,48.87,127.67,119.44,46.13
13,432.06,171.07,332.63,554.14,460.57,479.57,818.79,679.15,673.3,37.28,774.92,198.12,86.26,337.02,598.01,826.1,100.16
14,1008.51,519.67,36.11,281.86,295.07,900.17,155.02,419.26,111.86,93.36,570.76,7.93,668.52,883.44,319.73,165.59,96.01
15,46.79,302.66,451.06,577.54,295.35,410.12,537.33,608.24,447.41,149.14,871.42,67.26,254.41,225.9,796.12,276.34,592.16
16,4.89,40.29,91.43,23.13,25.87,74.5,69.61,69.97,7.15,111.34,106.69,110.62,64.61,62.7,35.64,96.32,70.45
